codMunicipio;Município;Estado;MUNICIPIO_ESTADO;IDHM;IDHM_R;IDHM_L;IDHM_E
5200050;Abadia de Goiás;GO;ABADIA DE GOIÁS-GO;0,708;0,687;0,83;0,622
3100104;Abadia dos Dourados;MG;ABADIA DOS DOURADOS-MG;0,689;0,693;0,839;0,563
5200100;Abadiânia;GO;ABADIÂNIA-GO;0,689;0,671;0,841;0,579
3100203;Abaeté;MG;ABAETÉ-MG;0,698;0,72;0,848;0,556
1500107;Abaetetuba;PA;ABAETETUBA-PA;0,628;0,579;0,798;0,537
2300101;Abaiara;CE;ABAIARA-CE;0,628;0,54;0,748;0,612
2900108;Abaíra;BA;ABAÍRA-BA;0,603;0,577;0,746;0,51
2900207;Abaré;BA;ABARÉ-BA;0,575;0,533;0,776;0,46
4100103;Abatiá;PR;ABATIÁ-PR;0,687;0,676;0,804;0,596
4200051;Abdon Batista;SC;ABDON BATISTA-SC;0,694;0,66;0,812;0,625
1500131;Abel Figueiredo;PA;ABEL FIGUEIREDO-PA;0,622;0,625;0,8;0,481
4200101;Abelardo Luz;SC;ABELARDO LUZ-SC;0,696;0,684;0,852;0,578
3100302;Abre Campo;MG;ABRE CAMPO-MG;0,654;0,646;0,823;0,525
2600054;Abreu E Lima;PE;ABREU E LIMA-PE;0,679;0,625;0,791;0,632
1700251;Abreulândia;TO;ABREULÂNDIA-TO;0,665;0,7;0,835;0,502
3100401;Acaiaca;MG;ACAIACA-MG;0,63;0,61;0,823;0,499
2100055;Açailândia;MA;AÇAILÂNDIA-MA;0,672;0,643;0,785;0,602
2900306;Acajutiba;BA;ACAJUTIBA-BA;0,582;0,56;0,723;0,487
1500206;Acará;PA;ACARÁ-PA;0,506;0,517;0,757;0,332
2300150;Acarape;CE;ACARAPE-CE;0,606;0,559;0,709;0,562
2300200;Acaraú;CE;ACARAÚ-CE;0,601;0,554;0,758;0,517
2400109;Acari;RN;ACARI-RN;0,679;0,633;0,779;0,634
2200053;Acauã;PI;ACAUÃ-PI;0,528;0,517;0,692;0,411
4300034;Aceguá;RS;ACEGUÁ-RS;0,687;0,703;0,852;0,541
2300309;Acopiara;CE;ACOPIARA-CE;0,595;0,563;0,724;0,517
5100102;Acorizal;MT;ACORIZAL-MT;0,628;0,594;0,816;0,51
1200013;Acrelândia;AC;ACRELÂNDIA-AC;0,604;0,584;0,808;0,466
5200134;Acreúna;GO;ACREÚNA-GO;0,686;0,71;0,822;0,553
2400208;Açu;RN;AÇU-RN;0,661;0,641;0,795;0,568
3100500;Açucena;MG;AÇUCENA-MG;0,61;0,595;0,844;0,451
3500105;Adamantina;SP;ADAMANTINA-SP;0,79;0,772;0,852;0,75
5200159;Adelândia;GO;ADELÂNDIA-GO;0,702;0,664;0,836;0,622
3500204;Adolfo;SP;ADOLFO-SP;0,73;0,71;0,844;0,648
4100202;Adrianópolis;PR;ADRIANÓPOLIS-PR;0,667;0,644;0,817;0,563
2900355;Adustina;BA;ADUSTINA-BA;0,546;0,526;0,718;0,432
2600104;Afogados da Ingazeira;PE;AFOGADOS DA INGAZEIRA-PE;0,657;0,623;0,807;0,565
2400307;Afonso Bezerra;RN;AFONSO BEZERRA-RN;0,585;0,56;0,713;0,502
3200102;Afonso Cláudio;ES;AFONSO CLÁUDIO-ES;0,667;0,661;0,825;0,544
2100105;Afonso Cunha;MA;AFONSO CUNHA-MA;0,529;0,471;0,725;0,434
2600203;Afrânio;PE;AFRÂNIO-PE;0,588;0,542;0,761;0,493
1500305;Afuá;PA;AFUÁ-PA;0,489;0,485;0,774;0,311
2600302;Agrestina;PE;AGRESTINA-PE;0,592;0,581;0,76;0,47
2200103;Agricolândia;PI;AGRICOLÂNDIA-PI;0,599;0,55;0,742;0,526
4200200;Agrolândia;SC;AGROLÂNDIA-SC;0,725;0,727;0,827;0,633
4200309;Agronômica;SC;AGRONÔMICA-SC;0,741;0,774;0,884;0,595
1500347;Água Azul do Norte;PA;ÁGUA AZUL DO NORTE-PA;0,564;0,563;0,797;0,399
3100609;Água Boa;MT;ÁGUA BOA-MT;0,729;0,723;0,829;0,646
5100201;Água Boa;MG;ÁGUA BOA-MG;0,576;0,594;0,799;0,403
2200202;Água Branca;PI;ÁGUA BRANCA-PI;0,639;0,6;0,763;0,569
2500106;Água Branca;PB;ÁGUA BRANCA-PB;0,572;0,542;0,712;0,484
2700102;Água Branca;AL;ÁGUA BRANCA-AL;0,549;0,527;0,728;0,432
5000203;Água Clara;MS;ÁGUA CLARA-MS;0,67;0,705;0,823;0,518
3100708;Água Comprida;MG;ÁGUA COMPRIDA-MG;0,675;0,719;0,86;0,498
4200408;Água Doce;SC;ÁGUA DOCE-SC;0,698;0,724;0,82;0,574
2100154;Água Doce do Maranhão;MA;ÁGUA DOCE DO MARANHÃO-MA;0,5;0,494;0,697;0,363
3200169;Água Doce do Norte;ES;ÁGUA DOCE DO NORTE-ES;0,652;0,619;0,819;0,546
2900405;Água Fria;BA;ÁGUA FRIA-BA;0,55;0,529;0,747;0,422
5200175;Água Fria de Goiás;GO;ÁGUA FRIA DE GOIÁS-GO;0,671;0,672;0,817;0,55
5200209;Água Limpa;GO;ÁGUA LIMPA-GO;0,722;0,691;0,821;0,663
2400406;Água Nova;RN;ÁGUA NOVA-RN;0,616;0,527;0,776;0,572
2600401;Água Preta;PE;ÁGUA PRETA-PE;0,553;0,514;0,761;0,432
4300059;Água Santa;RS;ÁGUA SANTA-RS;0,75;0,84;0,85;0,59
3500303;Aguaí;SP;AGUAÍ-SP;0,715;0,703;0,858;0,606
3100807;Aguanil;MG;AGUANIL-MG;0,663;0,672;0,845;0,513
2600500;Águas Belas;PE;ÁGUAS BELAS-PE;0,526;0,546;0,691;0,385
3500402;Águas da Prata;SP;ÁGUAS DA PRATA-SP;0,781;0,75;0,886;0,716
4200507;Águas de Chapecó;SC;ÁGUAS DE CHAPECÓ-SC;0,713;0,712;0,811;0,629
3500501;Águas de Lindóia;SP;ÁGUAS DE LINDÓIA-SP;0,745;0,725;0,846;0,675
3500550;Águas de Santa Bárbara;SP;ÁGUAS DE SANTA BÁRBARA-SP;0,757;0,744;0,84;0,695
3500600;Águas de São Pedro;SP;ÁGUAS DE SÃO PEDRO-SP;0,854;0,849;0,89;0,825
3100906;Águas Formosas;MG;ÁGUAS FORMOSAS-MG;0,645;0,624;0,811;0,531
4200556;Águas Frias;SC;ÁGUAS FRIAS-SC;0,745;0,728;0,86;0,661
5200258;Águas Lindas de Goiás;GO;ÁGUAS LINDAS DE GOIÁS-GO;0,686;0,647;0,848;0,588
4200606;Águas Mornas;SC;ÁGUAS MORNAS-SC;0,723;0,731;0,853;0,606
3101003;Águas Vermelhas;MG;ÁGUAS VERMELHAS-MG;0,601;0,586;0,808;0,458
4300109;Agudo;RS;AGUDO-RS;0,694;0,752;0,847;0,524
3500709;Agudos;SP;AGUDOS-SP;0,745;0,705;0,845;0,694
4100301;Agudos do Sul;PR;AGUDOS DO SUL-PR;0,66;0,671;0,79;0,543
3200136;Águia Branca;ES;ÁGUIA BRANCA-ES;0,678;0,66;0,792;0,595
2500205;Aguiar;PB;AGUIAR-PB;0,597;0,632;0,753;0,447
1700301;Aguiarnópolis;TO;AGUIARNÓPOLIS-TO;0,657;0,618;0,804;0,571
3101102;Aimorés;MG;AIMORÉS-MG;0,684;0,685;0,81;0,576
2900603;Aiquara;BA;AIQUARA-BA;0,583;0,573;0,733;0,471
2300408;Aiuaba;CE;AIUABA-CE;0,569;0,518;0,749;0,474
3101201;Aiuruoca;MG;AIURUOCA-MG;0,668;0,677;0,871;0,505
4300208;Ajuricaba;RS;AJURICABA-RS;0,753;0,763;0,85;0,658
3101300;Alagoa;MG;ALAGOA-MG;0,649;0,634;0,832;0,518
2500304;Alagoa Grande;PB;ALAGOA GRANDE-PB;0,582;0,576;0,797;0,43
2500403;Alagoa Nova;PB;ALAGOA NOVA-PB;0,576;0,567;0,749;0,451
2500502;Alagoinha;PE;ALAGOINHA-PE;0,599;0,569;0,801;0,472
2600609;Alagoinha;PB;ALAGOINHA-PB;0,595;0,574;0,795;0,462
2200251;Alagoinha do Piauí;PI;ALAGOINHA DO PIAUÍ-PI;0,531;0,535;0,716;0,391
2900702;Alagoinhas;BA;ALAGOINHAS-BA;0,683;0,681;0,79;0,592
3500758;Alambari;SP;ALAMBARI-SP;0,712;0,682;0,805;0,658
