,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,1100015,Alta Floresta D'Oeste,11,RO,480.6531165311653,554.6682864450127,504.49565217391296,519.1420054200536,460.05115089514067
1,1100023,Ariquemes,11,RO,476.134096586179,549.8116207951072,508.440787461773,508.0709825145709,448.0963302752294
2,1100031,Cabixi,11,RO,468.97384615384624,546.2263888888888,493.19583333333344,505.8,445.27777777777777
3,1100049,Cacoal,11,RO,484.37325875135247,559.5688113782595,518.9811716898071,522.3444965716345,471.5001693193363
4,1100056,Cerejeiras,11,RO,477.07765567765574,556.2851724137935,511.49655172413816,507.7300366300366,459.3103448275862
5,1100064,Colorado do Oeste,11,RO,483.2146953405016,549.3063333333336,511.3236666666666,515.8250896057345,468.4
6,1100072,Corumbiara,11,RO,467.5139240506331,537.9614457831326,485.47228915662646,501.51645569620257,454.69879518072287
7,1100080,Costa Marques,11,RO,460.2005524861879,526.0301020408162,485.25357142857126,487.77734806629843,408.0612244897959
8,1100098,Espigão D'Oeste,11,RO,481.76903633491366,553.3818181818182,506.9189149560117,522.5650868878363,467.03812316715545
9,1100106,Guajará-Mirim,11,RO,458.46285166240443,525.4774795799306,485.45904317386174,483.0703964194378,405.8693115519253
10,1100114,Jaru,11,RO,468.27381930184777,545.2020715630887,501.17984934086627,501.7024640657084,423.2768361581921
11,1100122,Ji-Paraná,11,RO,478.00630252100757,549.5437256430229,509.2952455183162,510.9435854341744,464.23486619901274
12,1100130,Machadinho D'Oeste,11,RO,474.1146282973626,546.3427601809951,500.6893665158373,507.56762589928024,435.92760180995475
13,1100148,Nova Brasilândia D'Oeste,11,RO,464.70861423221015,547.4491166077735,500.71978798586576,512.5146067415731,426.43109540636044
14,1100155,Ouro Preto do Oeste,11,RO,478.30553410553443,549.9178098676293,506.04043321299633,506.90682110682144,462.93622141997594
15,1100189,Pimenta Bueno,11,RO,480.2971056439946,546.4553548387096,510.463483870968,514.8496382054997,452.8774193548387
16,1100205,Porto Velho,11,RO,477.4561980285267,548.6081567148982,508.825484002447,508.76937056005397,467.8683513348278
17,1100254,Presidente Médici,11,RO,471.420872865275,550.3126334519576,505.96797153024966,512.4028462998103,462.02846975088966
18,1100262,Rio Crespo,11,RO,465.8135593220338,538.683606557377,478.17377049180317,486.32542372881363,383.60655737704917
19,1100288,Rolim de Moura,11,RO,479.827594936709,552.6673337257203,508.6840494408486,510.30234177215186,453.94938198940554
20,1100296,Santa Luzia D'Oeste,11,RO,474.36134969325167,546.3468571428573,496.1497142857144,503.6582822085891,434.74285714285713
21,1100304,Vilhena,11,RO,481.494717762818,559.060988483685,518.0521593090211,520.5800621439672,464.2034548944338
22,1100320,São Miguel do Guaporé,11,RO,467.62750642673524,536.9685990338166,490.925603864734,497.96066838046244,444.1062801932367
23,1100338,Nova Mamoré,11,RO,457.7225961538468,522.249440715883,480.9910514541384,483.2663461538463,397.0917225950783
24,1100346,Alvorada D'Oeste,11,RO,462.39357142857125,543.1925081433224,497.7061889250814,508.2692857142854,440.91205211726384
25,1100379,Alto Alegre dos Parecis,11,RO,468.5953020134229,544.5285714285714,501.4311688311688,501.97986577181206,453.24675324675326
26,1100403,Alto Paraíso,11,RO,465.4480769230767,536.0887640449438,490.308426966292,506.9557692307688,442.35955056179773
27,1100452,Buritis,11,RO,469.9708235294118,543.1335483870962,499.9827956989248,504.2592941176473,431.01075268817203
28,1100502,Novo Horizonte do Oeste,11,RO,472.4756756756755,536.6155,490.6494999999999,506.71405405405403,435.8
29,1100601,Cacaulândia,11,RO,462.6353846153848,528.8985294117648,479.66911764705884,489.1615384615382,421.7647058823529
30,1100700,Campo Novo de Rondônia,11,RO,469.2423999999998,547.1589147286821,493.24806201550376,496.9088,447.7519379844961
31,1100809,Candeias do Jamari,11,RO,462.2558282208589,525.2220149253726,490.747201492537,495.86871165644175,425.2985074626866
32,1100908,Castanheiras,11,RO,459.2609756097562,539.3386363636362,481.03409090909093,510.5000000000001,411.8181818181818
33,1100924,Chupinguaia,11,RO,467.43239436619723,545.2397435897435,482.99743589743576,490.843661971831,416.4102564102564
34,1100940,Cujubim,11,RO,465.97357142857135,540.343870967742,486.03870967741955,515.5071428571428,440.38709677419354
35,1101005,Governador Jorge Teixeira,11,RO,470.34725274725275,534.3773195876289,494.5649484536082,514.5153846153845,465.36082474226805
36,1101104,Itapuã do Oeste,11,RO,457.4477707006368,535.6597701149424,486.8867816091952,486.49490445859897,394.9425287356322
37,1101203,Ministro Andreazza,11,RO,474.8379084967322,534.6830303030305,491.5199999999999,504.9209150326799,443.5151515151515
38,1101302,Mirante da Serra,11,RO,468.7649038461543,535.8690582959641,492.5937219730942,495.9403846153846,423.67713004484307
39,1101401,Monte Negro,11,RO,468.7626315789473,522.4822660098521,487.2719211822658,491.29947368421057,426.2068965517241
40,1101435,Nova União,11,RO,466.9151515151517,535.9132075471698,488.3292452830188,498.6101010101009,439.0566037735849
41,1101450,Parecis,11,RO,467.93199999999985,545.7886792452831,490.845283018868,495.43200000000013,407.92452830188677
42,1101468,Pimenteiras do Oeste,11,RO,459.6375000000001,532.7562499999999,508.69375,499.26875000000007,378.75
43,1101476,Primavera de Rondônia,11,RO,477.13829787234044,534.2300000000001,493.4739999999999,504.7999999999999,500.0
44,1101484,São Felipe D'Oeste,11,RO,473.426923076923,530.4596491228071,492.79649122807035,489.93942307692294,451.05263157894734
45,1101492,São Francisco do Guaporé,11,RO,464.58034188034213,540.4915999999996,501.14160000000015,499.10854700854696,458.08
46,1101500,Seringueiras,11,RO,454.8892405063291,534.6862068965517,483.39367816091954,486.95569620253144,412.7586206896552
47,1101559,Teixeirópolis,11,RO,477.23666666666685,544.9630434782613,495.9391304347826,509.1211111111112,464.5652173913044
48,1101609,Theobroma,11,RO,460.21886792452847,529.8166666666668,491.61491228070184,490.9028301886792,404.03508771929825
49,1101708,Urupá,11,RO,469.2565217391304,545.4062937062938,510.25874125874145,503.30362318840577,490.90909090909093
50,1101757,Vale do Anari,11,RO,474.2804347826087,552.443956043956,509.89120879120895,504.39021739130436,430.989010989011
51,1101807,Vale do Paraíso,11,RO,459.8288888888885,540.5169014084506,488.4274647887325,501.44370370370376,432.67605633802816
52,1200013,Acrelândia,12,AC,454.824609375,540.9350364963502,493.7310218978103,493.595703125,457.66423357664235
53,1200054,Assis Brasil,12,AC,471.2592105263158,531.5158536585366,494.03048780487796,499.99736842105267,440.0
54,1200104,Brasiléia,12,AC,462.1693548387094,535.91552238806,498.1943283582093,490.93129032258076,448.35820895522386
55,1200138,Bujari,12,AC,462.96868131868143,528.8356783919598,493.21005025125623,487.8120879120877,449.1457286432161
56,1200179,Capixaba,12,AC,452.53967391304343,529.2326633165826,486.78643216080417,486.8260869565218,427.2361809045226
